Outcome,Message,Identity,Delay,IPODescriptions IPOIdentifier,IPODescriptions Name,IPODescriptions Symbol,IPODescriptions Market,IPODescriptions MarketIdentificationCode,IPODescriptions Status,IPODescriptions FilingDate,IPODescriptions TradeDate,IPODescriptions EstimatedOfferDate,IPODescriptions OfferDate,IPODescriptions OfferLowPrice,IPODescriptions OfferHighPrice,IPODescriptions OfferSize,IPODescriptions OfferPrice,IPODescriptions OfferAmount,IPODescriptions Currency,IPODescriptions SmallMarketCap,IPODescriptions SpecialPurposeAcquisitionCompany
Success,,Request,48.2936147,13368,American Addiction Centers,AAC,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,7/11/2014,10/2/2014,9/29/2014,10/1/2014,12,14,5000000,15,75000000,USD,False,False
Success,,Request,48.2936147,18254,American Farmland Company,AFCO,"New York Stock Exchange, Inc.",XNYS,Priced,6/26/2015,10/20/2015,10/19/2015,10/19/2015,8,8,6000000,8,48000000,USD,False,False
Success,,Request,48.2936147,12312,American Homes 4 Rent,AMH,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,6/4/2013,8/1/2013,7/29/2013,7/31/2013,16,18,44117647,16,705882352,USD,False,False
Success,,Request,48.2936147,12118,American Homes 4 Rent,AMH,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Active,6/4/2013,,,,,,,,,USD,,False
Success,,Request,48.2936147,12595,American Petroleum Tankers Partners LP,JAT,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Withdrawn,10/22/2013,,,,,,,,,USD,,False
Success,,Request,48.2936147,19402,American Renal Associates Holdings,ARA,"New York Stock Exchange, Inc.",XNYS,Priced,8/31/2015,4/21/2016,4/18/2016,4/20/2016,20,23,7500000,22,165000000,USD,False,False
Success,,Request,48.2936147,12166,American Residential Properties,ARPI,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Priced,3/22/2013,5/9/2013,5/6/2013,5/8/2013,21,23,13700500,21,287710500,USD,False,False
Success,,Request,48.2936147,25123,American Resources,AREC,NASDAQ,XNAS,Priced,2/6/2019,2/15/2019,2/11/2019,2/14/2019,12.15,12.15,1000000,4,4000000,USD,False,False
Success,,Request,48.2936147,22951,Americold Realty Trust,COLD,"New York Stock Exchange, Inc.",XNYS,Priced,11/14/2017,1/19/2018,1/15/2018,1/18/2018,14,16,45300000,16,724800000,USD,False,False
Success,,Request,48.2936147,19538,AmeriQuest,AMQ,NASDAQ,XNAS,Active,11/9/2015,,,,,,,,,USD,,False
