Outcome,Message,Identity,Delay,IPOPerformances Symbol,IPOPerformances Name,IPOPerformances OfferPrice,IPOPerformances OfferDate,IPOPerformances TradeDate,IPOPerformances Currency,IPOPerformances ClosePrice,IPOPerformances ClosePriceDate,IPOPerformances PercentChange
Success,,Request,63.6632563,NBEV,New Age Beverages,3.5,2/13/2017,2/14/2017,USD,5.62,4/11/2019,60.57
Success,,Request,63.6632563,NFE,New Fortress Energy,14,1/30/2019,1/31/2019,USD,11.41,4/11/2019,-18.5
Success,,Request,63.6632563,NFC.U,New Frontier Corp.,10,6/27/2018,6/28/2018,USD,10.25,4/11/2019,2.5
Success,,Request,63.6632563,NEWR,New Relic,23,12/11/2014,12/12/2014,USD,98.61,4/11/2019,328.74
Success,,Request,63.6632563,NSLP,New Source Energy Partners LP,20,2/7/2013,2/8/2013,USD,0,4/11/2019,-100
Success,,Request,63.6632563,NMRK,Newmark Group,14,12/14/2017,12/15/2017,USD,8.41,4/11/2019,-39.93
Success,,Request,63.6632563,NEXA,Nexa Resources,16,10/26/2017,10/27/2017,USD,12.5,4/11/2019,-21.88
Success,,Request,63.6632563,NEP,"NextEra Energy Partners, LP",25,6/26/2014,6/27/2014,USD,47.6,4/11/2019,90.4
Success,,Request,63.6632563,NGM,NGM Biopharmaceuticals,16,4/3/2019,4/4/2019,USD,16,4/11/2019,0
Success,,Request,63.6632563,NITE,Nightstar Therapeutics ,14,9/27/2017,9/28/2017,USD,25.49,4/11/2019,82.07
Success,,Request,63.6632563,NINE,Nine Energy Service,23,1/18/2018,1/19/2018,USD,22,4/11/2019,-4.35
Success,,Request,63.6632563,NIO,NIO,6.26,9/11/2018,9/12/2018,USD,5.01,4/11/2019,-19.97
Success,,Request,63.6632563,NIU,Niu Technologies,9,10/18/2018,10/19/2018,USD,11.85,4/11/2019,31.67
Success,,Request,63.6632563,LASR,nLight,16,4/25/2018,4/26/2018,USD,23.22,4/11/2019,45.12
Success,,Request,63.6632563,NMIH,NMI Holdings,13,11/7/2013,11/8/2013,USD,27.01,4/11/2019,107.77
Success,,Request,63.6632563,NBLX,Noble Midstream Partners LP,22.5,9/14/2016,9/15/2016,USD,37.01,4/11/2019,64.49
Success,,Request,63.6632563,NDLS,Noodles & Company,18,6/27/2013,6/28/2013,USD,6.38,4/11/2019,-64.56
